person_id,name,title,company,person_location,company_hq,email,linkedin,title_clean,relevant,job_title,keywords,year,funding_stage,recent_research,rule_score,senior_role,funded_company,hub_location,ml_probability,ml_score,final_score,rank
25,Yuki Tanaka,Principal Scientist Safety,HepaCore,Tokyo,Tokyo,yuki@hepacore.com,linkedin.com/in/yukitanaka,principal scientist safety,True,3D Cell Culture Models for Toxicity Prediction,3D culture;toxicity,2023,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,24
32,Andreas Koch,Head of Preclinical Toxicology,BioStruct AG,Munich,Munich,andreas@biostruct.com,linkedin.com/in/andreaskoch,head of preclinical toxicology,True,Preclinical Liver Safety Case Studies,liver safety;case studies,2024,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,25
31,Maria Gomez,Director Safety Assessment,LiverPoint,Madrid,Madrid,maria@liverpoint.com,linkedin.com/in/mariagomez,director safety assessment,True,Computational and Experimental Toxicology Integration,computational toxicology,2023,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,26
28,Ayesha Khan,Associate Director Toxicology,HepaBridge,Lahore,Boston,ayesha@hepabridge.com,linkedin.com/in/ayeshakhan,associate director toxicology,True,Toxicology Risk Assessment Using Mechanistic Data,risk assessment;toxicology,2024,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,27
27,Lucas Meyer,Director Preclinical Safety,TheraGen,Berlin,Berlin,lucas@theragen.com,linkedin.com/in/lucasmeyer,director preclinical safety,True,Preclinical Safety Biomarkers for Liver Injury,biomarkers;liver injury,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,28
35,Chloe Bernard,Principal Scientist Safety,TheraBio,Lyon,Lyon,chloe@therabio.com,linkedin.com/in/chloebernard,principal scientist safety,True,3D In Vitro Models for Risk Assessment,3D in-vitro;risk assessment,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,29
36,Hiroshi Nakamura,Senior Director Toxicology,HepaSystems,Osaka,Osaka,hiroshi@hepasystems.com,linkedin.com/in/hiroshinakamura,senior director toxicology,True,Drug Safety Challenges in Early Development,early development;drug safety,2024,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,30
23,Elena Ivanova,Head of Toxicology,RusBioTech,Moscow,Moscow,elena@rusbiotech.com,linkedin.com/in/elenivanova,head of toxicology,True,Next-Generation Safety Sciences,next-gen safety;toxicology,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,31
20,Peter Novak,Director Preclinical Toxicology,BioVector AG,Zurich,Zurich,peter@biovector.com,linkedin.com/in/peternovak,director preclinical toxicology,True,Translational Risk Assessment in Liver Toxicology,translational risk;liver toxicity,2024,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,32
50,George Papadopoulos,Director Preclinical Research,BioHep Europe,Athens,Athens,george@biohepeu.com,linkedin.com/in/georgepapadopoulos,director preclinical research,True,Future Directions in Drug Safety Science,drug safety;future trends,2024,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,33
49,Natalie Evans,Principal Scientist Toxicology,HepatoNova,Bay Area,Bay Area,natalie@hepatonova.com,linkedin.com/in/natalieevans,principal scientist toxicology,True,3D Liver Systems in Toxicology Testing,3D liver;toxicology testing,2023,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,34
44,Thomas Becker,Director Toxicology,BioRisk AG,Hamburg,Hamburg,thomas@biorisk.com,linkedin.com/in/thomasbecker,director toxicology,True,Advanced Safety Assessment Methodologies,safety methodologies,2024,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,35
45,Laura Sanchez,Head of Safety Pharmacology,LiverPath,Barcelona,Barcelona,laura@liverpath.com,linkedin.com/in/laurasanchez,head of safety pharmacology,True,Hepatic Risk Prediction in Drug Discovery,hepatic risk;drug discovery,2023,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,36
38,Ahmed Hassan,Associate Director Preclinical Safety,HepatoLab,Cairo,Cairo,ahmed@hepatolab.com,linkedin.com/in/ahmedhassan,associate director preclinical safety,True,Toxicology Strategies for Liver Risk Reduction,liver risk;toxicology,2024,Series A,1,90,0,1,0,0.9972281416974405,99.72,94.86,37
39,Susan Clark,Director Drug Safety,LiverCore,Bay Area,Bay Area,susan@livercore.com,linkedin.com/in/susanclark,director drug safety,True,Organ-on-Chip Systems for Safety Evaluation,organ-on-chip;safety evaluation,2023,Series C,1,90,0,1,0,0.9972281416974405,99.72,94.86,38
41,Irene Kowalski,VP Preclinical Safety,BioTox Solutions,Warsaw,Warsaw,irene@biotox.com,linkedin.com/in/irenekowalski,vp preclinical safety,True,Next-Generation Toxicology Workflows,toxicology workflows,2023,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,39
37,Paolo Ricci,Head of Safety Sciences,BioMedica,Milano,Milano,paolo@biomedica.com,linkedin.com/in/paoloricci,head of safety sciences,True,Application of NAMs in Hepatic Toxicology,NAMs;hepatic toxicology,2023,Series B,1,90,0,1,0,0.9972281416974405,99.72,94.86,40
33,Simran Kaur,Senior Scientist Hepatic Safety,BioLiver,Chandigarh,Boston,simran@bioliver.com,linkedin.com/in/simrankaur,senior scientist hepatic safety,True,Advances in Hepatic Safety Screening,hepatic screening,2023,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,41
10,Nina Patel,Scientist Toxicology,EarlyBio Labs,Chicago,Chicago,nina@earlybio.com,linkedin.com/in/ninapatel,scientist toxicology,True,High-Throughput Toxicology Screening Using 3D Systems,high-throughput;3D models,2024,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,42
21,Ana Silva,Scientist Toxicology,HepaFlow,Porto,Porto,ana@hepaflow.com,linkedin.com/in/anasilva,scientist toxicology,True,Toxicology Screening Using Advanced Hepatic Models,hepatic models;screening,2023,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,43
18,Rahul Verma,Senior Scientist Safety,NovoBio,Pune,Boston,rahul@novobio.com,linkedin.com/in/rahulverma,senior scientist safety,True,Preclinical Toxicology Risk Mitigation Strategies,preclinical risk;toxicology,2024,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,44
40,Victor Alvarez,Senior Scientist Toxicology,HepaQuest,Mexico City,Mexico City,victor@hepaquest.com,linkedin.com/in/victoralvarez,senior scientist toxicology,True,Preclinical Decision Support in Drug Safety,decision support;preclinical safety,2024,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,45
26,Fatima Noor,Senior Scientist Toxicology,BioAxis,Dubai,Dubai,fatima@bioaxis.com,linkedin.com/in/fatimanoor,senior scientist toxicology,True,Regulatory Perspectives on NAMs in Toxicology,NAMs;regulatory science,2024,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,46
47,Minseo Park,Scientist Toxicology,BioHep Korea,Seoul,Seoul,minseo@biohepkr.com,linkedin.com/in/minseopark,scientist toxicology,True,Translational Toxicology Case Applications,translational toxicology,2023,Seed,1,70,0,0,0,0.9975776050418945,99.76,84.88,47
11,Thomas Wright,VP Preclinical Safety,LiverNova,Cambridge,Cambridge,thomas@livernova.com,linkedin.com/in/thomaswright,vp preclinical safety,True,Early Risk Identification in Toxicology Studies,early risk;toxicology,2022,Series B,0,60,0,1,1,0.147367868174974,14.74,37.37,48
